NOC,DominantSports
POL,Weightlifting-113
BRA,"Football-295, Volleyball-285"
CUB,Baseball-112
FRA,Judo-135
ITA,"Fencing-465, Water Polo-244"
GBR,Sailing-212
FIJ,Rugby Sevens-26
AUS,"Cycling-379, Hockey-381, Taekwondo-22"
HUN,"Canoeing-280, Modern Pentathlon-77"
USA,"Athletics-1774, Basketball-291, Beach Volleyball-51, Boxing-152, Diving-171, Equestrianism-320, Gymnastics-1129, Rowing-591, Shooting-325, Softball-60, Swimming-1262, Tennis-107, Triathlon-29, Wrestling-259"
KOR,"Archery-102, Golf-6, Handball-228, Table Tennis-101"
RUS,Trampolining-16
ESP,Rhythmic Gymnastics-49
CHN,Badminton-129
JPN,Synchronized Swimming-78
