Year,Top10Countries
1956,"USA-421, AUS-412, URS-411, GBR-283, GER-261, FRA-226, JPN-222, ITA-207, HUN-197, SWE-184"
1960,"GER-424, URS-414, USA-405, ITA-402, GBR-383, FRA-361, HUN-312, POL-307, JPN-278, AUS-277"
1964,"GER-478, URS-463, JPN-456, USA-455, AUS-391, HUN-319, GBR-300, ITA-256, KOR-240, POL-240"
1968,"USA-496, URS-471, MEX-446, FRG-431, GDR-346, GBR-328, FRA-311, HUN-303, POL-296, CAN-291"
1972,"FRG-584, USA-551, URS-531, GDR-454, GBR-433, POL-418, HUN-367, FRA-356, ITA-345, CAN-344"
1976,"URS-574, USA-538, CAN-531, FRG-450, GDR-407, GBR-351, JPN-328, ITA-312, FRA-302, HUN-288"
1980,"URS-660, GDR-495, POL-418, BUL-397, HUN-392, ROU-339, GBR-328, TCH-317, CUB-288, ESP-211"
1984,"USA-671, FRG-571, CAN-569, GBR-509, ITA-368, JPN-365, FRA-354, AUS-337, CHN-323, ESP-257"
1988,"USA-689, URS-647, KOR-551, FRG-516, CAN-502, GBR-471, CHN-427, FRA-413, JPN-412, GDR-402"
1992,"USA-708, GER-653, EUN-650, ESP-537, GBR-510, FRA-486, CAN-443, ITA-431, CHN-394, JPN-392"
1996,"USA-819, GER-626, RUS-552, AUS-550, ITA-460, FRA-453, JPN-448, CHN-438, KOR-417, CAN-408"
2000,"AUS-787, USA-761, RUS-602, GER-567, FRA-470, ITA-457, ESP-431, CAN-422, GBR-415, CHN-414"
2004,"USA-724, AUS-600, RUS-593, GER-592, CHN-518, GRE-499, ITA-474, FRA-461, ESP-423, JPN-414"
2008,"USA-762, CHN-730, RUS-600, AUS-569, GER-558, ITA-459, JPN-457, CAN-449, FRA-448, GBR-420"
2012,"USA-685, GBR-684, RUS-548, AUS-514, GER-510, CHN-479, FRA-425, JPN-399, ITA-382, CAN-354"
2016,"USA-717, BRA-583, GER-536, AUS-518, FRA-511, CHN-499, GBR-478, JPN-436, RUS-406, CAN-405"
